NIRF Code,CollegeCode,instituteName,collegeName,avgMedianSalary,avgPlacementPercentage,avgPassingPercentage,avgHigherStudiesPercentage,IdleOutputIndex,avgScholarshipPercentage,totalIntake,avgSeatsFilled,avgWomenStudents,avgOutsideStudents,ocCutoff,State,District,PowerScore,careerOutcome
IR-E-C-36995,2718,Sri Krishna College of Engineering and Technology,Sri Krishna College of Engineering and Technology (Autonomous),700000,85.24,93.9,8.31,6.44,12.24,5736,93.24,26.89,6.32,192,Tamilnadu,Coimbatore,96.43,93.56
IR-E-C-45287,2329,RATHINAM TECHNICAL CAMPUS,Rathinam Technical Campus (Autonomous),568333,95.14,98.2,3.07,1.8,30.16,1847,75.74,53.97,22.77,179,Tamilnadu,Coimbatore,96.11,98.2
IR-E-C-16626,1211,Rajalakshmi Engineering College,Rajalakshmi Engineering College (Autonomous),537000,82.41,95.25,10.85,6.74,9.23,8490,99.91,46.08,34.55,193.5,Tamilnadu,Kancheepuram,94.36,93.26
IR-E-C-36969,2007,COIMBATORE INSTITUTE OF TECHNOLOGY,Coimbatore Institute of Technology (Autonomous),586000,82.04,92.12,9.56,8.39,38.75,2880,94.07,30.76,2.73,198,Tamilnadu,Coimbatore,94.36,91.61
IR-E-C-37070,2750,Kalaignar Karunanidhi Institute of Technology,KIT - Kalaignarkarunanidhi Institute of Technology (Autonomous),648333,83.76,91.08,7.26,8.98,34.13,2700,88.59,39.57,16.53,185.5,Tamilnadu,Coimbatore,94.2,91.02
IR-E-C-16560,1304,Easwari Engineering College,Easwari Engineering College (Autonomous),532667,87.14,95.93,8.79,4.07,19.78,4440,75.04,53.67,11.86,188,Tamilnadu,Chennai,94.18,95.93
IR-E-C-50605,2377,PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH,PSG Institute of Technology and Applied Research(Autonomous),650000,81.31,94.49,6.6,12.1,22.42,1500,89.89,37.3,13.68,197,Tamilnadu,Coimbatore,92.85,87.9
IR-E-C-36947,2726,SNS College of Technology,SNS College of Technology (Autonomous),509000,87.57,97.9,8.1,4.32,18.45,3960,65,41.17,11.92,177.5,Tamilnadu,Coimbatore,92.65,95.68
IR-E-C-16532,1432,Rajalakshmi Institute of Technology,Rajalakshmi Institute of Technology (Autonomous) Irulapalayam Kuthampakkam,508667,96.45,100,3.43,0.12,30.39,2940,56.22,45.65,42.18,191,Tamilnadu,Chennai,92.33,99.88
IR-E-C-16604,1315,Sri Sivasubramaniya Nadar College of Engineering,Sri Sivasubramaniya Nadar College of Engineering (Autonomous),806667,75.89,94.24,13.08,11.03,18.34,3240,105.85,35.69,16,199,Tamilnadu,Chengalpattu,92.3,88.97
IR-E-C-16504,1116,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY,Sri Venkateswara College of Engineering and Technology,498000,83.69,96.64,7.55,8.76,71.4,4680,85.58,34.65,25.72,167,Tamilnadu,Thiruvallur,91.8,91.24
IR-E-C-26794,5008,Thiagarajar College of Engineering,Thiagarajar College of Engineering (Autonomous),668000,77.34,96.37,5.84,16.82,32.22,3594,95.75,39.39,0.95,197.5,Tamilnadu,Madurai,90.77,83.18
IR-E-C-25054,3701,K. Ramakrishnan College of Technology,K Ramakrishnan College of Technology (Autonomous),463333,85.28,93.04,3.51,11.22,11.31,2100,81.29,33.79,5.48,171,Tamilnadu,Tiruchirappalli,90.37,88.78
