id,counselling_code,branch,year,allotted,available,fill_rate
1,1,BIO MEDICAL ENGINEERING (SS),2021,44,44,1.0
2,1,CIVIL ENGINEERING,2021,44,44,1.0
3,1,CIVIL ENGINEERING (TAMIL MEDIUM),2021,23,23,1.0
4,1,COMPUTER SCIENCE AND ENGINEERING,2021,45,45,1.0
5,1,COMPUTER SCIENCE AND ENGINEERING (SS),2021,84,84,1.0
6,1,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,46,46,1.0
7,1,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,43,43,1.0
8,1,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),2021,41,41,1.0
9,1,GEO INFORMATICS,2021,29,29,1.0
10,1,INDUSTRIAL ENGINEERING,2021,29,29,1.0
11,1,INFORMATION TECHNOLOGY (SS),2021,87,87,1.0
12,1,MANUFACTURING ENGINEERING,2021,44,44,1.0
13,1,MATERIAL SCIENCE AND ENGINEERING (SS),2021,22,22,1.0
14,1,MECHANICAL ENGINEERING,2021,86,86,1.0
15,1,MECHANICAL ENGINEERING (TAMIL MEDIUM),2021,22,22,1.0
16,1,MINING ENGINEERING,2021,22,22,1.0
17,1,PRINTING TECHNOLOGY,2021,30,30,1.0
18,1013,COMPUTER SCIENCE AND ENGINEERING,2021,46,46,1.0
19,1013,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,46,46,1.0
20,1013,INFORMATION TECHNOLOGY,2021,45,46,0.9783
21,1013,MECHANICAL ENGINEERING,2021,45,46,0.9783
22,1013,MECHANICAL ENGINEERING (TAMIL MEDIUM),2021,15,46,0.3261
23,1014,CIVIL ENGINEERING,2021,39,47,0.8298
24,1014,CIVIL ENGINEERING (TAMIL MEDIUM),2021,5,45,0.1111
25,1014,COMPUTER SCIENCE AND ENGINEERING,2021,45,45,1.0
26,1014,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,43,46,0.9348
27,1014,INFORMATION TECHNOLOGY,2021,47,47,1.0
28,1015,COMPUTER SCIENCE AND ENGINEERING,2021,44,44,1.0
29,1015,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,42,44,0.9545
30,1015,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,44,46,0.9565
31,1015,MECHANICAL ENGINEERING,2021,41,45,0.9111
32,1015,MECHANICAL ENGINEERING (TAMIL MEDIUM),2021,5,46,0.1087
33,1026,COMPUTER SCIENCE AND ENGINEERING,2021,45,45,1.0
34,1026,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,46,47,0.9787
35,1026,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,44,44,1.0
36,1026,MECHANICAL ENGINEERING,2021,44,45,0.9778
37,1101,CIVIL ENGINEERING,2021,10,34,0.2941
38,1101,COMPUTER SCIENCE AND ENGINEERING,2021,40,43,0.9302
39,1101,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,16,33,0.4848
40,1101,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,21,34,0.6176
41,1101,INFORMATION TECHNOLOGY,2021,19,21,0.9048
42,1101,MECHANICAL ENGINEERING,2021,14,33,0.4242
43,1106,AERONAUTICAL ENGINEERING,2021,7,21,0.3333
44,1106,CIVIL ENGINEERING,2021,1,22,0.0455
45,1106,COMPUTER SCIENCE AND ENGINEERING,2021,53,56,0.9464
