id,counselling_code,branch,year,oc,bc,bcm,mbc,sc,sca,st
1,1,BIO MEDICAL ENGINEERING (SS),2021,195,194,193.5,194.8,189,182.5,181
2,1,CIVIL ENGINEERING,2021,193.5,192.7,190.5,193.3,190,182,174.6
3,1,CIVIL ENGINEERING (TAMIL MEDIUM),2021,187,181.8,177.8,182.3,176.9,173,—
4,1,COMPUTER SCIENCE AND ENGINEERING,2021,199,198.1,197,198.6,196.5,193.9,192.2
5,1,COMPUTER SCIENCE AND ENGINEERING (SS),2021,198,197.7,196.4,197.5,193,192.1,190.8
6,1,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,196,195,193.8,195.5,191,190.4,191
7,1,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,198,197.3,196,197.1,194.3,192,192.5
8,1,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),2021,196.6,196,195.9,196,192.2,189,187.5
9,1,GEO INFORMATICS,2021,193.2,192,192,193.1,188,182.3,—
10,1,INDUSTRIAL ENGINEERING,2021,192,191.4,190.3,191.5,187.1,179.8,—
11,1,INFORMATION TECHNOLOGY (SS),2021,197,196,194.4,195.8,191.5,189.1,192.4
12,1,MANUFACTURING ENGINEERING,2021,191.4,190,186.8,191,185.7,184.8,172.9
13,1,MATERIAL SCIENCE AND ENGINEERING (SS),2021,192,190.8,188.1,190.9,184.9,171.6,—
14,1,MECHANICAL ENGINEERING,2021,194.6,193.5,193,193.5,188.3,186.5,181.1
15,1,MECHANICAL ENGINEERING (TAMIL MEDIUM),2021,184.4,182.5,182.4,—,177.1,175.6,—
16,1,MINING ENGINEERING,2021,190.5,188.4,188.8,187.5,183.7,174.1,—
17,1,PRINTING TECHNOLOGY,2021,189.8,187.5,185,187.9,183.4,177.2,—
18,1013,COMPUTER SCIENCE AND ENGINEERING,2021,182.3,175.8,179.3,174.5,169.8,157.2,—
19,1013,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,175.9,171.2,166.6,174.7,160,162,—
20,1013,INFORMATION TECHNOLOGY,2021,179.1,174.9,171.1,177.5,169.5,161.3,—
21,1013,MECHANICAL ENGINEERING,2021,162,145.5,156.6,118.8,149.9,136.6,—
22,1013,MECHANICAL ENGINEERING (TAMIL MEDIUM),2021,86.0*,—,—,—,—,—,—
23,1014,CIVIL ENGINEERING,2021,159.3,127.0*,149.0*,142.9,146.3,—,—
24,1014,CIVIL ENGINEERING (TAMIL MEDIUM),2021,140.0*,—,—,—,—,—,—
25,1014,COMPUTER SCIENCE AND ENGINEERING,2021,177.9,174,170.5,177.5,167,149.8,—
26,1014,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,172.8,168.6,158.3,164,160.6,—,—
27,1014,INFORMATION TECHNOLOGY,2021,176.3,172.7,162.3,168.9,166.1,158.8,152.9
28,1015,COMPUTER SCIENCE AND ENGINEERING,2021,176.6,174.1,164.2,174.3,164.1,128.8,146.8
29,1015,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,166.2,159,139.6,161.2,153.3,—,—
30,1015,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,172.8,167.5,168.5,168.5,159.5,—,—
31,1015,MECHANICAL ENGINEERING,2021,157.3,140.8,128.4*,—,141.5,—,—
32,1015,MECHANICAL ENGINEERING (TAMIL MEDIUM),2021,133.8*,—,—,—,—,—,—
33,1026,COMPUTER SCIENCE AND ENGINEERING,2021,185.8,182.1,181.5,182.2,175.3,165.2,—
34,1026,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,173.8,165.8,122.5,161.7,164.7,125.6*,—
35,1026,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,180.8,176.4,174.8,—,169.5,155.4,159
36,1026,MECHANICAL ENGINEERING,2021,167.6,159.5,137.5,160,159.9,—,150
37,1101,CIVIL ENGINEERING,2021,124.1*,—,—,—,—,—,—
38,1101,COMPUTER SCIENCE AND ENGINEERING,2021,171.6,161,170.2,161.1,138.9,—,—
39,1101,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,134.8,128.0*,134.3,—,—,—,—
40,1101,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,160.1,130.8*,160,—,—,—,—
41,1101,INFORMATION TECHNOLOGY,2021,170.4,151.6,169.5,—,117.5,—,—
42,1101,MECHANICAL ENGINEERING,2021,147.6,144.4*,146,—,—,—,—
43,1106,AERONAUTICAL ENGINEERING,2021,115.3*,—,—,—,—,—,—
44,1106,CIVIL ENGINEERING,2021,156.3*,—,—,—,—,—,—
45,1106,COMPUTER SCIENCE AND ENGINEERING,2021,162.5,157.5,129,154.1,136.5,—,—
46,1106,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,99.5*,—,—,—,—,—,—
47,1106,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,144.3,137.7*,—,—,138.0*,—,—
48,1106,ELECTRONICS AND INSTRUMENTATION ENGINEERING,2021,80.0*,—,—,—,—,—,—
49,1106,INFORMATION TECHNOLOGY,2021,160.7,145.1,158.3,141.7,129.8,—,—
50,1106,MECHANICAL ENGINEERING,2021,124.4*,—,—,—,—,—,—
51,1106,TEXTILE TECHNOLOGY,2021,155.5*,—,—,—,—,—,—
52,1107,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,—,—,—,—,—,—,—
53,1107,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,—,—,—,—,—,—,—
54,1107,FOOD TECHNOLOGY,2021,168.3*,—,—,—,—,—,—
55,1107,MECHANICAL ENGINEERING,2021,141.0*,—,—,—,—,—,—
56,1110,Artificial Intelligence and Data Science,2021,173.6,168.5,—,—,129,—,—
57,1110,BIO TECHNOLOGY,2021,168.9,139.5,136.5,162.3,95.5*,142.0*,—
58,1110,COMPUTER SCIENCE AND ENGINEERING,2021,176.1,171.3,169,165.8,145.1,—,—
59,1110,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,167.5,160.8,—,—,136.9*,—,—
60,1110,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,168.2,165.4,165.5,157.5,124.0*,—,—
61,1110,INFORMATION TECHNOLOGY,2021,173.5,169.7,166.6,167.6,143.9,171,—
62,1110,MECHANICAL ENGINEERING,2021,141.5,98.5,—,—,—,—,—
63,1110,Mechatronics Engineering,2021,147,122.0*,—,—,—,—,—
64,1112,Artificial Intelligence and Machine Learning,2021,184.9,182.5,181.3,179,164.4,—,—
65,1112,COMPUTER SCIENCE AND BUSSINESS SYSTEM,2021,184.2,182.6,174.5,182.5,162.8,—,—
66,1112,COMPUTER SCIENCE AND ENGINEERING,2021,187.2,186,182.2,186,170.5,146.2,—
67,1112,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,183.1,181.6,176.7,176,162.2,143.5,—
68,1112,INFORMATION TECHNOLOGY,2021,185.9,184.5,181.1,185.5,168.4,139,—
69,1113,Artificial Intelligence and Data Science,2021,189,188,186,181.1,171.2,164.3,—
70,1113,CIVIL ENGINEERING,2021,177.3,175.4,172.5,169.6,175,—,—
71,1113,COMPUTER SCIENCE AND BUSSINESS SYSTEM,2021,186.5,185.5,186.1,186.5,169.1,155.5,—
72,1113,COMPUTER SCIENCE AND DESIGN,2021,185.3,184,184.5,184,167.5,—,—
73,1113,COMPUTER SCIENCE AND ENGINEERING,2021,191,189.5,188.4,190,175,157.8,171
74,1113,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,185.9,182.7,178.4,179.2,166.1,—,—
75,1113,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,188,186.4,183.9,184.9,170.1,148.6,—
76,1113,ELECTRONICS AND INSTRUMENTATION ENGINEERING,2021,182.3,181.5,—,—,164.4,—,—
77,1113,INFORMATION TECHNOLOGY,2021,189.7,189,184.9,—,174.1,—,—
78,1113,MECHANICAL ENGINEERING,2021,178.9,174.7,178.1,173.5,154,—,—
79,1114,CIVIL ENGINEERING,2021,106.5*,—,—,—,—,—,—
80,1114,COMPUTER SCIENCE AND ENGINEERING,2021,178.7,173.2,169.4,175.1,156.9,172.9*,—
81,1114,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,161.1,150.8,146.7*,158,130.7*,—,—
82,1114,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,171.4,168.6,165.1,166.3,139.1,144.4*,—
83,1114,INFORMATION TECHNOLOGY,2021,176.8,172.8,170.9,176.6,158.3,—,—
84,1114,MECHANICAL ENGINEERING,2021,151.9,139.6,—,—,144.3*,—,—
85,1115,Artificial Intelligence and Data Science,2021,161.5,150.8,149.1,—,132.6,155.5*,138.5
86,1115,COMPUTER SCIENCE AND ENGINEERING,2021,171.8,161.5,165,169.8,119.9,139.6,—
87,1115,MECHANICAL ENGINEERING,2021,128.7,—,—,—,—,—,—
88,1116,CIVIL ENGINEERING,2021,171.0*,—,—,—,—,—,—
89,1116,COMPUTER SCIENCE AND ENGINEERING,2021,178.5,174.3,159.5,162.9,151.6,—,—
90,1116,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,134.8*,—,—,—,—,—,—
91,1116,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,157,83.0*,137.5,151.6,81.6*,—,—
92,1116,MECHANICAL ENGINEERING,2021,135.7*,—,—,—,—,—,—
93,1118,Artificial Intelligence and Data Science,2021,180.3,177.2,176.5,177.5,169,—,—
94,1118,BIO MEDICAL ENGINEERING,2021,180.9,176.6,176.8,176.2,167,159.1,—
95,1118,COMPUTER SCIENCE AND BUSSINESS SYSTEM,2021,178.1,175.7,176.7,178,156.5,—,—
96,1118,COMPUTER SCIENCE AND ENGINEERING,2021,181.9,179.3,175.2,180.5,165.3,97,—
97,1118,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,173.6,169.9,168,—,151.5,—,—
98,1118,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,177.2,174.2,168.8,171.8,165.2,170.4,—
99,1118,INFORMATION TECHNOLOGY,2021,179.3,177.4,173,178.6,161.9,—,—
100,1118,MECHANICAL ENGINEERING,2021,168.2,160.3,—,163.9,151.9,153.6,—
101,1120,AUTOMOBILE ENGINEERING,2021,163.1,157.8,146.2,—,133.7,—,—
102,1120,Artificial Intelligence and Data Science,2021,182.5,180,177.4,177.6,161.1,156.8*,—
103,1120,CIVIL ENGINEERING,2021,155,142,150.5,146.8,129.5*,—,143.8
104,1120,COMPUTER SCIENCE AND ENGINEERING,2021,185.2,183,180.2,181.5,163.9,136.5,167.9
105,1120,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,174.9,171,168,170.6,154.8,—,—
106,1120,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,179.3,176.5,168.3,172,155.5,139,—
107,1120,ELECTRONICS AND INSTRUMENTATION ENGINEERING,2021,174.9,170.3,166,—,147.5,—,—
108,1120,INFORMATION TECHNOLOGY,2021,182.8,182.3,179.1,182.4,163,105.5,—
109,1120,MECHANICAL ENGINEERING,2021,165.6,158.2,148.1,159.6,108.5*,142.6*,—
110,1122,Artificial Intelligence and Data Science,2021,179.5,176.5,171.2,174.4,162,167.7,—
111,1122,BIO TECHNOLOGY,2021,178.6,173.3,165.7,178,159,135,—
