id,counselling_code,branch,year,oc,bc,bcm,mbc,sc,sca,st
1,1,BIO MEDICAL ENGINEERING (SS),2021,"1,248","1,998","2,390","1,420","8,937","22,463","26,147"
2,1,CIVIL ENGINEERING,2021,"2,326","3,227","6,363","2,527","7,316","23,541","43,295"
3,1,CIVIL ENGINEERING (TAMIL MEDIUM),2021,"12,591","24,175","34,308","22,879","36,973","47,907",—
4,1,COMPUTER SCIENCE AND ENGINEERING,2021,29,111,388,67,551,"2,101","3,779"
5,1,COMPUTER SCIENCE AND ENGINEERING (SS),2021,175,260,631,312,"2,940","3,853","5,838"
6,1,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,809,"1,297","2,153","1,046","5,615","6,509","5,534"
7,1,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,218,332,789,368,"1,680","4,067","3,514"
8,1,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),2021,540,722,853,724,"3,760","8,916","11,789"
9,1,GEO INFORMATICS,2021,"2,648","3,961","4,374","2,693","10,811","22,902",—
10,1,INDUSTRIAL ENGINEERING,2021,"3,983","5,004","6,580","4,896","12,535","29,151",—
11,1,INFORMATION TECHNOLOGY (SS),2021,470,720,"1,661",856,"4,894","8,754","3,569"
12,1,MANUFACTURING ENGINEERING,2021,"5,064","7,088","13,132","5,666","15,353","17,201","48,416"
13,1,MATERIAL SCIENCE AND ENGINEERING (SS),2021,"4,125","5,897","10,642","5,806","16,965","52,089",—
14,1,MECHANICAL ENGINEERING,2021,"1,493","2,398","2,896","2,293","10,380","13,573","25,853"
15,1,MECHANICAL ENGINEERING (TAMIL MEDIUM),2021,"18,045","22,322","22,709",—,"36,264","40,564",—
16,1,MINING ENGINEERING,2021,"6,153","10,139","9,460","11,969","19,668","44,774",—
17,1,PRINTING TECHNOLOGY,2021,"7,762","11,815","16,817","11,168","20,410","36,074",—
18,1013,COMPUTER SCIENCE AND ENGINEERING,2021,"22,853","39,919","30,572","43,803","57,569","93,084",—
19,1013,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"39,662","53,290","66,967","43,186","85,903","80,422",—
20,1013,INFORMATION TECHNOLOGY,2021,"31,034","42,515","53,651","35,072","58,316","82,482",—
21,1013,MECHANICAL ENGINEERING,2021,"80,648","116,653","94,742","134,241","109,215","126,556",—
22,1013,MECHANICAL ENGINEERING (TAMIL MEDIUM),2021,"136,492*",—,—,—,—,—,—
23,1014,CIVIL ENGINEERING,2021,"87,816","131,932*","110,742*","120,082","115,331",—,—
24,1014,CIVIL ENGINEERING (TAMIL MEDIUM),2021,"123,368*",—,—,—,—,—,—
25,1014,COMPUTER SCIENCE AND ENGINEERING,2021,"34,196","45,043","55,184","35,285","65,946","109,299",—
26,1014,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"48,548","61,047","90,423","74,798","84,228",—,—
27,1014,INFORMATION TECHNOLOGY,2021,"38,587","49,048","79,536","60,290","68,596","89,102","103,150"
28,1015,COMPUTER SCIENCE AND ENGINEERING,2021,"37,682","44,899","74,151","44,449","74,408","131,246","114,592"
29,1015,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"68,331","88,409","123,768","82,697","102,430",—,—
30,1015,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"48,604","64,292","61,480","61,302","87,473",—,—
31,1015,MECHANICAL ENGINEERING,2021,"92,942","122,544","131,423*",—,"121,698",—,—
32,1015,MECHANICAL ENGINEERING (TAMIL MEDIUM),2021,"128,625*",—,—,—,—,—,—
33,1026,COMPUTER SCIENCE AND ENGINEERING,2021,"15,180","23,219","24,964","23,117","41,431","71,231",—
34,1026,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"45,596","69,604","133,431","81,301","72,640","132,454*",—
35,1026,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"26,632","38,242","42,978",—,"58,202","97,725","88,675"
36,1026,MECHANICAL ENGINEERING,2021,"63,899","87,174","125,799","86,038","86,413",—,"109,010"
37,1101,CIVIL ENGINEERING,2021,"132,931*",—,—,—,—,—,—
38,1101,COMPUTER SCIENCE AND ENGINEERING,2021,"51,972","83,207","56,205","82,881","124,532",—,—
39,1101,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"127,910","131,568*","128,291",—,—,—,—
40,1101,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"85,740","130,339*","86,200",—,—,—,—
41,1101,INFORMATION TECHNOLOGY,2021,"55,760","105,841","58,434",—,"134,465",—,—
42,1101,MECHANICAL ENGINEERING,2021,"113,192","118,111*","115,705",—,—,—,—
43,1106,AERONAUTICAL ENGINEERING,2021,"134,757*",—,—,—,—,—,—
44,1106,CIVIL ENGINEERING,2021,"95,429*",—,—,—,—,—,—
45,1106,COMPUTER SCIENCE AND ENGINEERING,2021,"79,207","92,493","131,120","100,578","126,628",—,—
46,1106,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"135,782*",—,—,—,—,—,—
47,1106,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"118,216","125,642*",—,—,"125,461*",—,—
48,1106,ELECTRONICS AND INSTRUMENTATION ENGINEERING,2021,"136,898*",—,—,—,—,—,—
49,1106,INFORMATION TECHNOLOGY,2021,"84,116","117,096","90,338","121,574","130,784",—,—
50,1106,MECHANICAL ENGINEERING,2021,"132,865*",—,—,—,—,—,—
51,1106,TEXTILE TECHNOLOGY,2021,"97,421*",—,—,—,—,—,—
52,1107,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,—,—,—,—,—,—,—
53,1107,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,—,—,—,—,—,—,—
54,1107,FOOD TECHNOLOGY,2021,"61,847*",—,—,—,—,—,—
55,1107,MECHANICAL ENGINEERING,2021,"122,295*",—,—,—,—,—,—
56,1110,Artificial Intelligence and Data Science,2021,"46,329","61,415",—,—,"131,171",—,—
57,1110,BIO TECHNOLOGY,2021,"60,296","123,943","126,656","79,754","135,982*","121,254*",—
58,1110,COMPUTER SCIENCE AND ENGINEERING,2021,"38,989","53,018","59,936","69,636","117,109",—,—
59,1110,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"64,184","83,850",—,—,"126,338*",—,—
60,1110,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"62,231","70,729","70,465","92,444","132,961*",—,—
61,1110,INFORMATION TECHNOLOGY,2021,"46,673","57,866","66,915","64,089","118,837","54,083",—
62,1110,MECHANICAL ENGINEERING,2021,"121,782","135,822",—,—,—,—,—
63,1110,Mechatronics Engineering,2021,"114,202","133,602*",—,—,—,—,—
64,1112,Artificial Intelligence and Machine Learning,2021,"17,085","22,480","25,234","31,428","73,631",—,—
65,1112,COMPUTER SCIENCE AND BUSSINESS SYSTEM,2021,"18,420","22,148","43,560","22,438","78,160",—,—
66,1112,COMPUTER SCIENCE AND ENGINEERING,2021,"12,396","14,728","23,057","14,590","55,383","115,496",—
67,1112,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"20,987","24,612","37,597","39,318","79,976","119,305",—
68,1112,INFORMATION TECHNOLOGY,2021,"15,022","17,751","25,701","15,825","61,701","124,334",—
69,1113,Artificial Intelligence and Data Science,2021,"8,995","10,741","14,769","25,791","53,466","73,762",—
70,1113,CIVIL ENGINEERING,2021,"35,870","41,193","49,576","57,926","42,281",—,—
71,1113,COMPUTER SCIENCE AND BUSSINESS SYSTEM,2021,"13,576","15,527","14,425","13,772","59,586","97,386",—
72,1113,COMPUTER SCIENCE AND DESIGN,2021,"16,126","19,061","17,928","19,122","64,337",—,—
73,1113,COMPUTER SCIENCE AND ENGINEERING,2021,"5,395","8,347","10,134","7,244","42,423","91,719","53,994"
74,1113,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"14,957","21,991","32,740","30,845","68,415",—,—
75,1113,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"10,855","13,983","19,227","17,081","56,510","111,504",—
76,1113,ELECTRONICS AND INSTRUMENTATION ENGINEERING,2021,"22,844","24,783",—,—,"73,690",—,—
77,1113,INFORMATION TECHNOLOGY,2021,"7,791","9,142","16,928",—,"44,796",—,—
78,1113,MECHANICAL ENGINEERING,2021,"31,544","43,014","33,630","46,638","100,876",—,—
79,1114,CIVIL ENGINEERING,2021,"135,472*",—,—,—,—,—,—
80,1114,COMPUTER SCIENCE AND ENGINEERING,2021,"32,055","47,335","58,708","41,857","93,912","48,324*",—
81,1114,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"82,865","107,484","114,703*","91,040","130,363*",—,—
82,1114,ELECTRONICS AND COMMUNICATION ENGINEERING,2021,"52,823","60,952","71,594","67,977","124,291","118,174*",—
83,1114,INFORMATION TECHNOLOGY,2021,"37,234","48,538","54,208","37,824","90,508",—,—
84,1114,MECHANICAL ENGINEERING,2021,"105,286","123,807",—,—,"118,312*",—,—
85,1115,Artificial Intelligence and Data Science,2021,"81,832","107,530","110,561",—,"129,357","97,263*","124,813"
86,1115,COMPUTER SCIENCE AND ENGINEERING,2021,"51,624","82,071","71,799","57,650","134,062","123,753",—
87,1115,MECHANICAL ENGINEERING,2021,"131,277",—,—,—,—,—,—
88,1116,CIVIL ENGINEERING,2021,"54,071*",—,—,—,—,—,—
89,1116,COMPUTER SCIENCE AND ENGINEERING,2021,"32,513","44,319","94,949","78,047","105,729",—,—
90,1116,ELECTRICAL AND ELECTRONICS ENGINEERING,2021,"127,939*",—,—,—,—,—,—
