nirf_id,financial_year,total_projects,total_client_organizations,total_amount_received
IR-E-U-0439,2023-24,1002,783,546873844
IR-E-U-0439,2022-23,0,0,0
IR-E-U-0439,2021-22,0,0,0
IR-E-I-1030,2022-23,0,0,0
IR-E-I-1030,2021-22,0,0,0
IR-E-I-1030,2020-21,0,0,0
IR-E-C-16532,2023-24,27,27,22648975
IR-E-C-16532,2022-23,0,0,0
IR-E-C-16532,2021-22,0,0,0
IR-E-C-16622,2023-24,0,0,0
IR-E-C-16622,2022-23,0,0,0
IR-E-C-16622,2021-22,0,0,0
IR-E-C-36995,2023-24,43,19,24006128
IR-E-C-36995,2022-23,0,0,0
IR-E-C-36995,2021-22,0,0,0
IR-E-C-16591,2023-24,0,0,0
IR-E-C-16591,2022-23,0,0,0
IR-E-C-16591,2021-22,0,0,0
IR-E-C-16477,2023-24,5,3,110000
IR-E-C-16477,2022-23,0,0,0
IR-E-C-16477,2021-22,0,0,0
IR-E-C-16482,2022-23,8,4,970000
IR-E-C-16482,2021-22,0,0,0
IR-E-C-16482,2020-21,0,0,0
IR-E-C-16487,2023-24,0,0,0
IR-E-C-16487,2022-23,0,0,0
IR-E-C-16487,2021-22,0,0,0
IR-E-C-16506,2023-24,2,2,100000
IR-E-C-16506,2022-23,0,0,0
IR-E-C-16506,2021-22,0,0,0
IR-E-C-16551,2023-24,0,0,0
IR-E-C-16551,2022-23,0,0,0
IR-E-C-16551,2021-22,0,0,0
IR-E-C-16527,2023-24,108,103,5599300
IR-E-C-16527,2022-23,0,0,0
IR-E-C-16527,2021-22,0,0,0
IR-E-C-48283,2023-24,219,102,10517727
IR-E-C-48283,2022-23,0,0,0
IR-E-C-48283,2021-22,0,0,0
IR-E-C-16473,2022-23,0,0,0
IR-E-C-16473,2021-22,0,0,0
IR-E-C-16473,2020-21,0,0,0
IR-E-C-16614,2023-24,227,101,20939599
IR-E-C-16614,2022-23,0,0,0
IR-E-C-16614,2021-22,0,0,0
IR-E-C-1377,2023-24,4,2,615000
IR-E-C-1377,2022-23,0,0,0
IR-E-C-1377,2021-22,0,0,0
IR-E-C-16523,2023-24,0,0,0
IR-E-C-16523,2022-23,0,0,0
IR-E-C-16523,2021-22,0,0,0
IR-E-C-36975,2023-24,93,120,10519452
IR-E-C-36975,2022-23,0,0,0
IR-E-C-36975,2021-22,0,0,0
IR-E-C-36954,2023-24,31,28,4438800
IR-E-C-36954,2022-23,0,0,0
IR-E-C-36954,2021-22,0,0,0
IR-E-C-16463,2023-24,11,11,4060949
IR-E-C-16463,2022-23,0,0,0
IR-E-C-16463,2021-22,0,0,0
IR-E-C-45295,2022-23,7,7,1428000
IR-E-C-45295,2021-22,0,0,0
IR-E-C-45295,2020-21,0,0,0
IR-E-C-45287,2023-24,16,11,86545500
IR-E-C-45287,2022-23,0,0,0
IR-E-C-45287,2021-22,0,0,0
IR-E-C-49130,2023-24,5,5,99810
IR-E-C-49130,2022-23,0,0,0
IR-E-C-49130,2021-22,0,0,0
IR-E-C-45288,2023-24,1,1,35000
IR-E-C-45288,2022-23,0,0,0
IR-E-C-45288,2021-22,0,0,0
IR-E-C-45299,2023-24,25,2,218910
IR-E-C-45299,2022-23,0,0,0
IR-E-C-45299,2021-22,0,0,0
IR-E-C-16548,2023-24,0,0,0
IR-E-C-16548,2022-23,0,0,0
IR-E-C-16548,2021-22,0,0,0
IR-E-C-48266,2023-24,4,4,353450
IR-E-C-48266,2022-23,0,0,0
IR-E-C-48266,2021-22,0,0,0
IR-E-C-49129,2023-24,5,5,2500000
IR-E-C-49129,2022-23,0,0,0
IR-E-C-49129,2021-22,0,0,0
IR-E-C-49133,2023-24,545,47,12636439
IR-E-C-49133,2022-23,0,0,0
IR-E-C-49133,2021-22,0,0,0
IR-E-C-50605,2023-24,321,119,2882285
IR-E-C-50605,2022-23,0,0,0
IR-E-C-50605,2021-22,0,0,0
IR-E-C-16504,2023-24,16,10,924000
IR-E-C-16504,2022-23,19,9,8972200
IR-E-C-16504,2021-22,0,0,0
IR-E-C-37003,2020-21,8,15,15650
IR-E-C-37003,2019-20,0,0,0
IR-E-C-37003,2018-19,0,0,0
IR-E-C-39247,2024-25,77,70,7761362
IR-E-C-39247,2023-24,0,0,0
IR-E-C-39247,2022-23,0,0,0
IR-E-C-37000,2023-24,40,25,3837900
IR-E-C-37000,2022-23,0,0,0
IR-E-C-37000,2021-22,0,0,0
IR-E-C-16490,2023-24,4,4,120000
IR-E-C-16490,2022-23,0,0,0
IR-E-C-16490,2021-22,0,0,0
IR-E-C-46528,2023-24,0,0,0
IR-E-C-46528,2022-23,0,0,0
IR-E-C-46528,2021-22,0,0,0
IR-E-C-36980,2022-23,350,350,8912364
IR-E-C-36980,2021-22,0,0,0
IR-E-C-36980,2020-21,0,0,0
IR-E-C-36966,2023-24,7,4,522500
IR-E-C-36966,2022-23,0,0,0
IR-E-C-36966,2021-22,0,0,0
IR-E-C-37028,2023-24,144,93,22744160
IR-E-C-37028,2022-23,0,0,0
IR-E-C-37028,2021-22,0,0,0
IR-E-C-37022,2023-24,1,1,55000
IR-E-C-37022,2022-23,0,0,0
IR-E-C-37022,2021-22,0,0,0
IR-E-C-36944,2023-24,10,7,9000000
IR-E-C-36944,2022-23,0,0,0
IR-E-C-36944,2021-22,0,0,0
IR-E-C-37074,2023-24,1,1,200000
IR-E-C-37074,2022-23,0,0,0
IR-E-C-37074,2021-22,0,0,0
IR-E-C-37068,2023-24,0,0,0
IR-E-C-37068,2022-23,0,0,0
IR-E-C-37068,2021-22,0,0,0
IR-E-C-37006,2023-24,3,3,40000
IR-E-C-37006,2022-23,0,0,0
