nirf_id,academic_year,library,lab_equipment_software,engineering_workshops,studios,other_capital_assets
IR-E-U-0439,2023-24,9336427,302135061,,,18345223
IR-E-U-0439,2022-23,39965888,188876533,,,26078907
IR-E-U-0439,2021-22,38198248,251514796,,,13185090
IR-E-I-1030,2022-23,410834,3462713,,,1023754
IR-E-I-1030,2021-22,507202,3847459,,,1137504
IR-E-I-1030,2020-21,563558,4749950,,,1520632
IR-E-C-16532,2023-24,6617847,7896748,,,77838856
IR-E-C-16532,2022-23,4913747,5967648,,,56729750
IR-E-C-16532,2021-22,3013747,4869848,,,11229750
IR-E-C-16622,2023-24,2294528,54112,,,1149962
IR-E-C-16622,2022-23,328255,196520,,,21452980
IR-E-C-16622,2021-22,75730,215270,,,38542750
IR-E-C-36995,2023-24,9508541,79597448,,,187339964
IR-E-C-36995,2022-23,9055754,71069274,,,167267825
IR-E-C-36995,2021-22,6930875,68825321,,,155654898
IR-E-C-16591,2023-24,712142,328194,,,598793
IR-E-C-16591,2022-23,180000,1584019,,,151000
IR-E-C-16591,2021-22,856500,630000,,,574310
IR-E-C-16477,2023-24,2198916,3627324,,,8995668
IR-E-C-16477,2022-23,2867911,2517748,,,11628734
IR-E-C-16477,2021-22,2742490,2193812,,,2232860
IR-E-C-16482,2022-23,275000,1150000,,,32500000
IR-E-C-16482,2021-22,200000,1100000,,,30000000
IR-E-C-16482,2020-21,50000,1200000,,,35000000
IR-E-C-16487,2023-24,560650,22699847,,,
IR-E-C-16487,2022-23,555877,6726000,,,
IR-E-C-16487,2021-22,170059,,,,
IR-E-C-16506,2023-24,121740,1161540,,,192640
IR-E-C-16506,2022-23,18905,1165000,,,181716
IR-E-C-16506,2021-22,,117962,,,994004
IR-E-C-16551,2023-24,4628062,159291,,,2942379
IR-E-C-16551,2022-23,2335096,671169,,,6109165
IR-E-C-16551,2021-22,1336249,102723,,,7918744
IR-E-C-16527,2023-24,4642004,9275468,,,8039799
IR-E-C-16527,2022-23,4349298,8348891,,,6825441
IR-E-C-16527,2021-22,3910961,7810287,,,429284
IR-E-C-48283,2023-24,755986,15402651,,,25158658
IR-E-C-48283,2022-23,1374120,20881565,,,21749232
IR-E-C-48283,2021-22,,39071191,,,20142502
IR-E-C-16473,2022-23,271080,608600,,,1219700
IR-E-C-16473,2021-22,145350,768250,,,810100
IR-E-C-16473,2020-21,87570,890000,,,750000
IR-E-C-16614,2023-24,4215860,28407635,,,19593674
IR-E-C-16614,2022-23,3914222,38583052,,,15574668
IR-E-C-16614,2021-22,9914351,14516961,,,6000371
IR-E-C-1377,2023-24,734317,15844676,,,27133876
IR-E-C-1377,2022-23,5022487,26648055,,,36765876
IR-E-C-1377,2021-22,2879149,11653610,,,3962653
IR-E-C-16523,2023-24,64878,229734,,,1009853
IR-E-C-16523,2022-23,148444,259216,,,1201550
IR-E-C-16523,2021-22,173080,354834,,,339952
IR-E-C-36975,2023-24,1627316,3565783,,,121148705
IR-E-C-36975,2022-23,1329245,2911441,,,33393179
IR-E-C-36975,2021-22,330280,1627465,,,23432269
IR-E-C-36954,2023-24,1814148,13384180,,,43140100
IR-E-C-36954,2022-23,1601786,8202173,,,11197212
IR-E-C-36954,2021-22,1136997,8094739,,,5468299
IR-E-C-16463,2023-24,10758707,15317900,,,45162719
IR-E-C-16463,2022-23,6197635,13168992,,,28121917
IR-E-C-16463,2021-22,1182352,2326006,,,
IR-E-C-45295,2022-23,1878154,15742900,,,17625000
IR-E-C-45295,2021-22,1800994,13032800,,,15085000
IR-E-C-45295,2020-21,1527845,9685245,,,8243294
IR-E-C-45287,2023-24,4480639,37684066,,,25650374
IR-E-C-45287,2022-23,4073309,28807337,,,13236704
IR-E-C-45287,2021-22,1010523,3251651,,,6011438
IR-E-C-49130,2023-24,1479635,18957122,,,10196400
IR-E-C-49130,2022-23,,,,,109550
IR-E-C-49130,2021-22,,,,,77071
IR-E-C-45288,2023-24,206698,199119,,,33672251
IR-E-C-45288,2022-23,881505,1471458,,,134271
IR-E-C-45288,2021-22,1149750,3317650,,,4228590
IR-E-C-45299,2023-24,1126693,2209202,,,270627
IR-E-C-45299,2022-23,400000,3000000,,,200000
IR-E-C-45299,2021-22,1020000,200000,,,245000
IR-E-C-16548,2023-24,18366,151433,,,356356
IR-E-C-16548,2022-23,166310,140184,,,3660000
IR-E-C-16548,2021-22,60786,,,,104334
IR-E-C-48266,2023-24,312079,5003090,,,915270
IR-E-C-48266,2022-23,1577934,5821021,,,2968820
IR-E-C-48266,2021-22,1032106,193470,,,3795712
IR-E-C-49129,2023-24,280200,293320,,,10670161
IR-E-C-49129,2022-23,913420,1816000,,,55000000
IR-E-C-49129,2021-22,854000,1517000,,,47000000
IR-E-C-49133,2023-24,748797,3347534,,,720000
IR-E-C-49133,2022-23,26197,50476900,,,9888007
IR-E-C-49133,2021-22,,32293385,,,159942
IR-E-C-50605,2023-24,3223945,33064850,,,22684144
IR-E-C-50605,2022-23,2463551,28424758,,,28675480
IR-E-C-50605,2021-22,2096285,7147706,,,17127191
IR-E-C-16504,2023-24,9824200,35685200,,,19264814
IR-E-C-16504,2022-23,9132100,31225700,,,20012543
IR-E-C-16504,2021-22,13201500,30116500,,,18457809
IR-E-C-37003,2020-21,540000,52408637,,,57832000
IR-E-C-37003,2019-20,771302,23226800,,,394415
IR-E-C-37003,2018-19,,3489127,,,
IR-E-C-39247,2024-25,5334627,38190629,,,15264218
IR-E-C-39247,2023-24,7598246,18740244,,,13681696
IR-E-C-39247,2022-23,2361994,9743649,,,20678038
IR-E-C-37000,2023-24,4557220,8032100,,,48305700
IR-E-C-37000,2022-23,3313350,2633580,,,42481920
IR-E-C-37000,2021-22,2958355,2310170,,,36940800
IR-E-C-16490,2023-24,1044081,6208151,,,14081671
IR-E-C-16490,2022-23,1809319,10088135,,,32676503
IR-E-C-16490,2021-22,828138,898966,,,259181
IR-E-C-46528,2023-24,175000,750000,,,7580000
IR-E-C-46528,2022-23,205000,830000,,,8830000
IR-E-C-46528,2021-22,270000,1020000,,,18533000
IR-E-C-36980,2022-23,1123095,7103929,,,4240822
IR-E-C-36980,2021-22,885882,336679,,,3240272
IR-E-C-36980,2020-21,563659,8043899,,,5500000
IR-E-C-36966,2023-24,1465599,3107598,,,16613387
IR-E-C-36966,2022-23,1381064,882091,,,10210000
IR-E-C-36966,2021-22,198137,178814,,,5295858
IR-E-C-37028,2023-24,5645908,64587516,,,66031834
IR-E-C-37028,2022-23,5015169,49050110,,,75703507
IR-E-C-37028,2021-22,5166867,13023596,,,38747108
IR-E-C-37022,2023-24,2069158,7134114,,,8815548
IR-E-C-37022,2022-23,1986968,9910707,,,8300734
IR-E-C-37022,2021-22,1146294,3624282,,,1138334
IR-E-C-36944,2023-24,7762317,6728542,,,96607727
IR-E-C-36944,2022-23,3807023,7920927,,,22745562
IR-E-C-36944,2021-22,2902009,5822398,,,2954641
IR-E-C-37074,2023-24,1185284,1739720,,,5684736
IR-E-C-37074,2022-23,1044634,723884,,,4725000
IR-E-C-37074,2021-22,1111758,1054640,,,3305045
IR-E-C-37068,2023-24,1005194,6705539,,,1950051
IR-E-C-37068,2022-23,770762,3514155,,,2474195
IR-E-C-37068,2021-22,833864,858947,,,726194
IR-E-C-37006,2023-24,1439096,4395292,,,407816
IR-E-C-37006,2022-23,1160318,2028000,,,594560
IR-E-C-37006,2021-22,1177541,183955,,,1400000
IR-E-C-37004,2023-24,1120051,3535480,,,24235714
IR-E-C-37004,2022-23,1076333,3443489,,,23342636
IR-E-C-37004,2021-22,1609515,2108725,,,9520095
IR-E-C-36930,2023-24,1410000,15100000,,,22100000
IR-E-C-36930,2022-23,1350000,12349000,,,3400000
IR-E-C-36930,2021-22,1255260,6546000,,,1545600
IR-E-C-36970,2021-22,352863,395777,,,6893250
IR-E-C-36970,2020-21,150000,,,,154000
IR-E-C-36970,2019-20,133758,,,,640918
IR-E-C-37026,2023-24,151454,300000,,,
IR-E-C-37026,2022-23,153620,197000,,,
IR-E-C-37026,2021-22,153620,197000,,,
IR-E-C-37061,2023-24,1437500,3135000,,,985900
IR-E-C-37061,2022-23,833255,1212780,,,919800
IR-E-C-37061,2021-22,819704,778470,,,75573427
IR-E-C-37076,2023-24,72387,166637,,,140150
IR-E-C-37076,2022-23,12336,2426545,,,1155627
IR-E-C-37076,2021-22,,,,,862664
IR-E-C-37029,2023-24,1888712,5155396,,,450000
IR-E-C-37029,2022-23,767049,5655396,,,1950585
IR-E-C-37029,2021-22,626872,657000,,,715000
IR-E-C-36941,2023-24,64659,51834,,,516606
IR-E-C-36941,2022-23,13570,206810,,,1430346
IR-E-C-36941,2021-22,13570,,,,661019
IR-E-C-36951,2023-24,269726,5582763,,,45420
IR-E-C-36951,2022-23,309964,1626900,,,355050
IR-E-C-36951,2021-22,152105,150500,,,
IR-E-C-37058,2023-24,1482038,9701239,,,4429717
IR-E-C-37058,2022-23,1076811,9150750,,,1393663
