nirf_id,academic_year,salaries,maintenance_infrastructure,seminars_workshops
IR-E-U-0439,2023-24,3173383106,558724720,34558630
IR-E-U-0439,2022-23,2853192994,687243463,18312596
IR-E-U-0439,2021-22,2522026452,366998019,13709721
IR-E-I-1030,2022-23,3165830,73635,27090
IR-E-I-1030,2021-22,2395319,26050,21198
IR-E-I-1030,2020-21,3638974,,21560
IR-E-C-16532,2023-24,178564265,61471574,18596810
IR-E-C-16532,2022-23,139534279,31371591,11796810
IR-E-C-16532,2021-22,114505448,29371591,9830675
IR-E-C-16622,2023-24,20829484,31887958,300000
IR-E-C-16622,2022-23,14821838,4306676,300000
IR-E-C-16622,2021-22,13791918,6094328,200000
IR-E-C-36995,2023-24,459964920,792289260,6433091
IR-E-C-36995,2022-23,391390872,684382486,6012235
IR-E-C-36995,2021-22,339044572,667649789,2827477
IR-E-C-16591,2023-24,23536261,13764354,904924
IR-E-C-16591,2022-23,24123167,12179015,1469371
IR-E-C-16591,2021-22,20226411,4901761,1302301
IR-E-C-16477,2023-24,94548142,35768902,294005
IR-E-C-16477,2022-23,97857689,32664861,255253
IR-E-C-16477,2021-22,88370966,31185839,59941
IR-E-C-16482,2022-23,62000000,275000,780000
IR-E-C-16482,2021-22,56000000,2000000,650000
IR-E-C-16482,2020-21,60000000,3000000,250000
IR-E-C-16487,2023-24,57995368,48981952,550000
IR-E-C-16487,2022-23,50479176,34704148,
IR-E-C-16487,2021-22,37680276,33470050,
IR-E-C-16506,2023-24,56023610,710740,192670
IR-E-C-16506,2022-23,56027343,328705,181716
IR-E-C-16506,2021-22,55952110,817922,321856
IR-E-C-16551,2023-24,55227067,31421911,1085528
IR-E-C-16551,2022-23,46737293,22499431,139296
IR-E-C-16551,2021-22,40217348,6000408,699331
IR-E-C-16527,2023-24,204840984,104198075,2202413
IR-E-C-16527,2022-23,184839371,70020110,1906856
IR-E-C-16527,2021-22,176201510,27835633,1827951
IR-E-C-48283,2023-24,110390422,70000,
IR-E-C-48283,2022-23,107261434,977410,
IR-E-C-48283,2021-22,93780511,201685,
IR-E-C-16473,2022-23,16050000,13287200,673000
IR-E-C-16473,2021-22,15985000,8625450,654200
IR-E-C-16473,2020-21,15400000,11543333,680000
IR-E-C-16614,2023-24,370583698,246232552,9428051
IR-E-C-16614,2022-23,324237685,171488880,4579908
IR-E-C-16614,2021-22,292416012,132953208,720624
IR-E-C-1377,2023-24,136016854,27647729,2334010
IR-E-C-1377,2022-23,126113126,60710721,1123240
IR-E-C-1377,2021-22,150315000,3646149,900000
IR-E-C-16523,2023-24,12337682,5536616,1543537
IR-E-C-16523,2022-23,12875098,3904102,450746
IR-E-C-16523,2021-22,12806188,1681032,177500
IR-E-C-36975,2023-24,308075359,86971372,1417590
IR-E-C-36975,2022-23,340146463,103000000,1046957
IR-E-C-36975,2021-22,287957062,12766062,
IR-E-C-36954,2023-24,183224046,180145170,6080604
IR-E-C-36954,2022-23,151442780,144294642,4852505
IR-E-C-36954,2021-22,117200623,113789822,2145394
IR-E-C-16463,2023-24,146852904,53625813,11859035
IR-E-C-16463,2022-23,120133867,51248924,10761624
IR-E-C-16463,2021-22,86108506,23354024,1259149
IR-E-C-45295,2022-23,79434455,29544300,7285500
IR-E-C-45295,2021-22,74725365,13861250,5090500
IR-E-C-45295,2020-21,72548899,7916555,4567850
IR-E-C-45287,2023-24,155796482,32198327,6494632
IR-E-C-45287,2022-23,117934202,10843442,5412284
IR-E-C-45287,2021-22,49882414,23996598,
IR-E-C-49130,2023-24,12900132,1360000,160710
IR-E-C-49130,2022-23,5697385,189789,109150
IR-E-C-49130,2021-22,5697385,209928,101256
IR-E-C-45288,2023-24,31660903,1277377,116515
IR-E-C-45288,2022-23,29471535,1383275,156037
IR-E-C-45288,2021-22,23205649,1542325,141319
IR-E-C-45299,2023-24,58543853,6406685,1656901
IR-E-C-45299,2022-23,55000000,3000000,500000
IR-E-C-45299,2021-22,53000000,5800000,1500000
IR-E-C-16548,2023-24,14735016,318358,14000
IR-E-C-16548,2022-23,21594693,12132152,61963
IR-E-C-16548,2021-22,19462919,10433500,
IR-E-C-48266,2023-24,67163590,45477344,1663509
IR-E-C-48266,2022-23,51983275,28936659,144740
IR-E-C-48266,2021-22,36311773,17144738,173539
IR-E-C-49129,2023-24,30001459,4190000,270000
IR-E-C-49129,2022-23,19307861,980786,223688
IR-E-C-49129,2021-22,8215000,920686,168500
IR-E-C-49133,2023-24,123920000,3102702,683336
IR-E-C-49133,2022-23,94601498,4383361,130744
IR-E-C-49133,2021-22,79056658,3567083,165738
IR-E-C-50605,2023-24,120107448,94996017,17549136
IR-E-C-50605,2022-23,93968252,73759531,9530694
IR-E-C-50605,2021-22,83738453,54567163,13990611
IR-E-C-16504,2023-24,245611844,96141442,7157400
IR-E-C-16504,2022-23,227511375,101423729,8325350
IR-E-C-16504,2021-22,219102969,98461618,7892750
IR-E-C-37003,2020-21,90987000,14000,1315704
IR-E-C-37003,2019-20,50622672,217392,2458992
IR-E-C-37003,2018-19,51830374,,
IR-E-C-39247,2024-25,238546818,130664385,14856124
IR-E-C-39247,2023-24,196275735,60413971,1773595
IR-E-C-39247,2022-23,146331687,68812091,762648
IR-E-C-37000,2023-24,162219897,46766170,8263280
IR-E-C-37000,2022-23,15067292,41588420,7264430
IR-E-C-37000,2021-22,12033993,36265260,6325000
IR-E-C-16490,2023-24,128441612,80863195,866995
IR-E-C-16490,2022-23,101998827,43707426,788763
IR-E-C-16490,2021-22,74266179,52707629,90750
IR-E-C-46528,2023-24,41020000,55580000,55000
IR-E-C-46528,2022-23,42522000,57573000,72000
IR-E-C-46528,2021-22,47255000,80875000,102000
IR-E-C-36980,2022-23,223237327,73952435,1289288
IR-E-C-36980,2021-22,187980472,12722416,
IR-E-C-36980,2020-21,214288244,18803813,
IR-E-C-36966,2023-24,80099634,14355300,1275092
IR-E-C-36966,2022-23,46797805,17586961,311854
IR-E-C-36966,2021-22,25594218,7068033,49524
IR-E-C-37028,2023-24,496166531,346455215,53017326
IR-E-C-37028,2022-23,458606940,309574067,31992976
IR-E-C-37028,2021-22,409622888,282989653,28646068
IR-E-C-37022,2023-24,79684471,8497535,2267317
IR-E-C-37022,2022-23,66765745,6483317,2319134
IR-E-C-37022,2021-22,48565973,16193026,554000
IR-E-C-36944,2023-24,127782703,148647731,1336674
IR-E-C-36944,2022-23,107478268,27973800,2244064
IR-E-C-36944,2021-22,88842585,88922338,1009963
IR-E-C-37074,2023-24,47946400,50615186,893313
IR-E-C-37074,2022-23,36683524,12951000,611506
IR-E-C-37074,2021-22,39400000,12034540,501000
IR-E-C-37068,2023-24,21212237,20974876,137258
IR-E-C-37068,2022-23,19338180,14777308,119329
IR-E-C-37068,2021-22,19326563,7087910,452757
IR-E-C-37006,2023-24,26182218,1978621,867561
IR-E-C-37006,2022-23,28899519,5240144,644680
IR-E-C-37006,2021-22,26118245,244422,2298961
IR-E-C-37004,2023-24,67824471,53023962,1501488
IR-E-C-37004,2022-23,65032826,50995390,1306340
IR-E-C-37004,2021-22,48125634,24750227,1071407
IR-E-C-36930,2023-24,135000000,103300000,3637000
IR-E-C-36930,2022-23,118300000,98336000,2270000
IR-E-C-36930,2021-22,107500000,22500000,1002500
IR-E-C-36970,2021-22,21211657,31960967,105050
IR-E-C-36970,2020-21,11892531,11824283,103400
IR-E-C-36970,2019-20,36464968,44402156,80450
IR-E-C-37026,2023-24,37965420,275000,221850
IR-E-C-37026,2022-23,20047918,200000,40900
IR-E-C-37026,2021-22,20047918,200000,40900
IR-E-C-37061,2023-24,40190400,30720500,1445400
IR-E-C-37061,2022-23,24840500,22058840,1337290
IR-E-C-37061,2021-22,25682365,5649555,467583
IR-E-C-37076,2023-24,15967774,27510344,771272
IR-E-C-37076,2022-23,15064394,19089404,2890691
IR-E-C-37076,2021-22,12567313,11228462,133565
IR-E-C-37029,2023-24,36455980,11536125,505055
IR-E-C-37029,2022-23,35405980,8036125,480055
IR-E-C-37029,2021-22,35470000,315000,653460
IR-E-C-36941,2023-24,28089901,3367736,447406
IR-E-C-36941,2022-23,25588055,4767237,174900
IR-E-C-36941,2021-22,19380589,,115578
IR-E-C-36951,2023-24,22978389,18335854,184657
IR-E-C-36951,2022-23,21553681,15169154,155673
IR-E-C-36951,2021-22,18583697,10380341,42555
IR-E-C-37058,2023-24,112957901,109005483,1540669
IR-E-C-37058,2022-23,92130819,80808431,728818
IR-E-C-37058,2021-22,78563564,48177874,163763
IR-E-C-37104,2023-24,53297068,5821140,1808335
IR-E-C-37104,2022-23,42427539,4731261,1685870
IR-E-C-37104,2021-22,32194558,2174968,715945
IR-E-C-36956,2023-24,24164301,6335509,200000
IR-E-C-36956,2022-23,16229064,2002032,40000
IR-E-C-36956,2021-22,9708425,1123432,60000
IR-E-C-16580,2021-22,24382375,12475215,117075
IR-E-C-16580,2020-21,16685737,6638865,
IR-E-C-16580,2019-20,19311207,17177038,
IR-E-C-37016,2023-24,30016701,7221074,138950
IR-E-C-37016,2022-23,30420232,4904642,65177
IR-E-C-37016,2021-22,30143979,3921339,
IR-E-C-37099,2023-24,112533678,125050388,2466150
IR-E-C-37099,2022-23,94299666,93589952,6434129
IR-E-C-37099,2021-22,60697091,57780378,768119
IR-E-C-37063,2023-24,284952415,183270849,15721600
IR-E-C-37063,2022-23,238489997,114505780,4788399
IR-E-C-37063,2021-22,200566394,99111775,100220
IR-E-C-36974,2022-23,146075109,13222100,150000
IR-E-C-36974,2021-22,147443813,11646993,134000
IR-E-C-36974,2020-21,149081991,11336489,93000
IR-E-C-37065,2024-25,519670422,289216382,4513378
IR-E-C-37065,2023-24,480835248,337078157,732474
IR-E-C-37065,2022-23,511110167,514682942,2592528
IR-E-C-36926,2023-24,540289316,294657558,56878564
IR-E-C-36926,2022-23,498990746,203369145,45333561
IR-E-C-36926,2021-22,338355097,217600222,3951866
IR-E-C-36958,2023-24,170069874,108769587,4518265
IR-E-C-36958,2022-23,140580000,90720206,3702282
IR-E-C-36958,2021-22,119517600,85530634,3268480
IR-E-C-37015,2023-24,100250000,1650000,600000
IR-E-C-37015,2022-23,100169000,1477000,700000
IR-E-C-37015,2021-22,100541000,1337000,560000
IR-E-C-37089,2023-24,269472708,216332388,6196624
IR-E-C-37089,2022-23,236391798,165963675,4013494
IR-E-C-37089,2021-22,241251150,141560789,1578979
IR-E-C-37094,2023-24,100966535,86750600,2031466
IR-E-C-37094,2022-23,109442680,60728859,2832092
IR-E-C-37094,2021-22,100941767,13191267,1896125
IR-E-C-37032,2023-24,65251247,41978328,4310996
IR-E-C-37032,2022-23,63219552,38959006,182385
IR-E-C-37032,2021-22,70185970,24473415,105000
IR-E-C-36947,2023-24,292086352,394263561,21243420
IR-E-C-36947,2022-23,281779828,389083475,20760765
IR-E-C-36947,2021-22,162308470,103042053,9707495
IR-E-C-37080,2023-24,287476762,149157860,7865000
IR-E-C-37080,2022-23,281558230,159825321,5150480
IR-E-C-37080,2021-22,211063000,148050280,5528990
IR-E-C-36938,2023-24,40895021,31705789,1163168
IR-E-C-36938,2022-23,34530856,2924842,659726
IR-E-C-36938,2021-22,24003789,3484294,415513
IR-E-C-37031,2022-23,13131055,9057778,12715
IR-E-C-37031,2021-22,9604741,5680090,
IR-E-C-37031,2020-21,8443426,712039,
IR-E-C-37036,2023-24,358512676,204590287,7157635
IR-E-C-37036,2022-23,125752001,28895241,6076459
IR-E-C-37036,2021-22,115405927,39752341,5218700
IR-E-C-37035,2023-24,79820751,43517929,822176
IR-E-C-37035,2022-23,63317107,17179285,302249
IR-E-C-37035,2021-22,37686419,16012413,1304176
IR-E-C-36929,2023-24,147260481,111248362,2444754
IR-E-C-36929,2022-23,131717721,77806026,1336800
IR-E-C-36929,2021-22,116471453,49088032,392085
IR-E-C-37057,2023-24,202154250,245287433,13311424
IR-E-C-37057,2022-23,131526516,234827642,4389398
IR-E-C-37057,2021-22,76189809,58617357,2424734
IR-E-C-37041,2023-24,44249351,16200100,810000
IR-E-C-37041,2022-23,35103475,9423000,500000
IR-E-C-37041,2021-22,36464938,17616176,2603304
IR-E-C-37087,2024-25,76460604,794360,249758
IR-E-C-37087,2023-24,65116600,196459,494063
IR-E-C-37087,2022-23,48288509,253690,177773
IR-E-C-37070,2023-24,154575446,132895633,8962664
IR-E-C-37070,2022-23,130524000,118180014,7252232
IR-E-C-37070,2021-22,117624721,84457737,2519608
IR-E-C-36989,2023-24,89003832,18218141,817109
IR-E-C-36989,2022-23,61552557,7509838,1057162
IR-E-C-36989,2021-22,43025622,7145612,1275250
IR-E-C-37038,2023-24,27755975,2462615,693705
IR-E-C-37038,2022-23,22502852,1184000,459700
IR-E-C-37038,2021-22,21866615,918615,14900
IR-E-C-16511,2023-24,29468638,2135648,1085251
IR-E-C-16511,2022-23,31344731,299475,194400
IR-E-C-16511,2021-22,21142293,395141,22230
IR-E-C-37043,2022-23,16579596,18100000,250000
IR-E-C-37043,2021-22,14067755,7713000,240000
IR-E-C-37043,2020-21,10066661,3569000,130000
IR-E-C-37090,2023-24,47759210,28335727,1282422
IR-E-C-37090,2022-23,37173524,11562941,489558
IR-E-C-37090,2021-22,27107866,10062343,421661
IR-E-C-37051,2023-24,33276157,455600,375000
IR-E-C-37051,2022-23,16582000,5563000,180000
IR-E-C-37051,2021-22,17580000,5843000,310000
IR-E-C-37021,2023-24,59421283,9266370,536250
IR-E-C-37021,2022-23,67478057,9055260,352030
IR-E-C-37021,2021-22,47084907,6487176,378664
IR-E-C-36985,2023-24,49910493,4388220,11000
IR-E-C-36985,2022-23,33208452,848792,
IR-E-C-36985,2021-22,21657728,654418,
IR-E-C-36999,2023-24,312020782,181484166,12580639
IR-E-C-36999,2022-23,270090566,170205202,12794448
IR-E-C-36999,2021-22,200925135,120759314,860626
IR-E-C-37055,2022-23,58367375,28094601,1616977
IR-E-C-37055,2021-22,33901229,33711937,1510977
IR-E-C-37055,2020-21,29437187,24972618,2067022
IR-E-C-37001,2023-24,34975967,4235125,93800
IR-E-C-37001,2022-23,25258491,3146232,70200
IR-E-C-37001,2021-22,18933781,2669043,51150
IR-E-C-25020,2023-24,23779836,29399545,604736
IR-E-C-25020,2022-23,19058057,218663,40191
IR-E-C-25020,2021-22,18827712,17971444,
IR-E-C-25014,2023-24,42518656,8326832,4827182
IR-E-C-25014,2022-23,41947167,8270097,3656845
IR-E-C-25014,2021-22,36011213,1290180,
IR-E-C-24999,2022-23,18555714,500000,200000
IR-E-C-24999,2021-22,19239772,475000,200000
IR-E-C-24999,2020-21,19375997,413000,165000
IR-E-C-49138,2023-24,10261300,750000,
IR-E-C-49138,2022-23,9800000,840000,
IR-E-C-49138,2021-22,9500000,500000,
IR-E-C-49141,2024-25,220000000,304000,
IR-E-C-49141,2023-24,152379231,979317,
IR-E-C-49141,2022-23,165589285,763308,
IR-E-C-49142,2023-24,218380208,,704097
IR-E-C-49142,2022-23,173156761,,191116
IR-E-C-49142,2021-22,152180408,,
IR-E-C-25054,2022-23,79191105,23066327,8987541
IR-E-C-25054,2021-22,68046642,18038715,6232640
IR-E-C-25054,2020-21,64865931,8965535,6143964
IR-E-C-25002,2023-24,24713355,2877069,525000
IR-E-C-25002,2022-23,22038030,2272582,475250
IR-E-C-25002,2021-22,20228040,1853663,450000
IR-E-C-25016,2023-24,8578699,1011219,120000
IR-E-C-25016,2022-23,8588972,822424,
IR-E-C-25016,2021-22,4534250,353616,
IR-E-C-25007,2023-24,24059751,2599900,108000
IR-E-C-25007,2022-23,33977492,15709497,177843
IR-E-C-25007,2021-22,21298326,1544854,52000
IR-E-C-25028,2022-23,50124150,11250025,715580
IR-E-C-25028,2021-22,40615128,9496029,585209
IR-E-C-25028,2020-21,39315893,12584645,73262
IR-E-C-25004,2024-25,66388452,72456780,200000
IR-E-C-25004,2023-24,72786404,65320860,150000
IR-E-C-25004,2022-23,73463612,9101002,268312
IR-E-C-24993,2023-24,49361104,23331468,852903
IR-E-C-24993,2022-23,27916000,16431000,2113341
IR-E-C-24993,2021-22,35902969,12232051,302509
IR-E-C-24984,2023-24,243469840,31973576,8038000
IR-E-C-24984,2022-23,143756988,28704422,5091674
IR-E-C-24984,2021-22,130070012,27336421,288500
IR-E-C-50925,2023-24,69851080,26893737,2598221
IR-E-C-50925,2022-23,44407281,17116847,1971077
IR-E-C-50925,2021-22,37047653,8504014,1145535
