nirf_id,institution_name,nirf_category,submission_year,pincode,pcs_lifts_ramps,pcs_walking_aids,pcs_toilets,phd_fulltime_pursuing,phd_parttime_pursuing,source_file
IR-E-U-0439,Anna University,ENGINEERING,2025,,"Yes, more than 80% of the buildings",,,1113,623,1. AU_NIRF 2025_Engineering_Submitted Data.pdf
IR-E-I-1030,Jaya Institute of Technology,ENGINEERING,2024,631204,"Yes, more than 80% of the buildings",,,0,0,10. Jaya Institute of Technology Kanchipadi Post Thiruvallur-Tiruttani NH Road Thiruvallur District 631204 -2024 data.pdf
IR-E-C-16532,Rajalakshmi Institute of Technology,ENGINEERING,2025,600124,"Yes, more than 80% of the buildings",,,9,25,100. Rajalakshmi Institute of Technology (Autonomous) Irulapalayam Kuthampakkam Post Kancheepuram District Chennai 600124.pdf
IR-E-C-16622,RRASE College of Engineering,ENGINEERING,2025,601301,"Yes, more than 60% of the buildings",,,0,0,103. Rrase College of Engineering Padappai Kancheepuram 601301.pdf
IR-E-C-36995,Sri Krishna College of Engineering and Technology,ENGINEERING,2025,632101,"Yes, more than 80% of the buildings",,,36,70,104. Sree Krishna College of Engineering Anaicut Post Unnai Village Vellore District 632101.pdf
IR-E-C-16591,A.K.T. Memorial College of Engineering & Technology,ENGINEERING,2025,606202,"Yes, more than 80% of the buildings",,,0,0,105. A K T Memorial College of Engineering and Technology Neelamangalam Village Kallakurichi District 606202.pdf
IR-E-C-16477,Loyola-ICAM College of Engineering and Technology,ENGINEERING,2025,600034,"Yes, more than 80% of the buildings",,,0,0,110. 2024...Loyola ICAM College of Engineering and Technology Loyola College Campus Nungambakkam Chennai 600034.pdf
IR-E-C-16482,Peri Institute of Technology,ENGINEERING,2024,600048,"Yes, more than 80% of the buildings",,,0,0,111. PERI Institute of Technology Mannivakkam West Tambaram Chennai 600048.pdf
IR-E-C-16487,Adhiparasakthi Engineering College,ENGINEERING,2025,632506,"Yes, more than 60% of the buildings",,,9,18,112. Adhiparasakthi College of Engineering Kalavai Ranipet District 632506.pdf
IR-E-C-16506,Arulmigu Meenakshi Amman College of Engineering,ENGINEERING,2025,604410,"Yes, more than 80% of the buildings",,,0,0,113. Arulmigu Meenakshi Amman College of Engineering Vadamavandal Thiruvannamalai District 604410.pdf
IR-E-C-16551,Meenakshi College of Engineering,ENGINEERING,2025,600078,"Yes, more than 80% of the buildings",,,0,0,117. Meenakshi College of Engineering Vembuliamman Koil Street K K Nagar (West) Chennai 600078.pdf
IR-E-C-16527,R.M.D Engineering College,ENGINEERING,2025,601206,"Yes, more than 80% of the buildings",,,4,75,12. R M D Engineering College (Autonomous) Kavaraipettai Gummidipoondi Thiruvallur District 601206.pdf
IR-E-C-48283,THANTHAI PERIYAR GOVERNMENT INSTITUTE OF TECHNOLOGY,ENGINEERING,2025,632002,"Yes, more than 80% of the buildings",,,2,26,123. Thanthai Periyar Government Institute of Technology Bagayam Vellore District 632002.pdf
IR-E-C-16473,Global Institute of Engineering and Technology,ENGINEERING,2024,632506,"Yes, more than 80% of the buildings",,,0,0,128. 2024...Global Institute of Engineering and Technology Bangalore-Chennai Highway Melvisharam Walajah Taluk Ranipet District 632506.pdf
IR-E-C-16614,R.M.K. Engineering College,ENGINEERING,2025,601206,"Yes, more than 80% of the buildings",,,8,133,13.R M K Engineering College (Autonomous) Kavaraipettai Gummidipoondi Thiruvallur District 601206.pdf
IR-E-C-1377,The Oxford College of Engineering,ENGINEERING,2025,606803,"Yes, more than 80% of the buildings",,,11,39,132. Oxford College of Engineering Venmani Village Karaipoondi Post Polur Taluk Thiruvannamalai District 606803.pdf
IR-E-C-16523,Idhaya Engineering College for Women,ENGINEERING,2025,606201,"Yes, less than 40% of the buildings",,,0,0,133. Idhaya Engineering College for Women Chinnasalem Kallakkurichi District 606201.pdf
IR-E-C-36975,Government College of Technology,ENGINEERING,2025,641013,"Yes, more than 80% of the buildings",,,55,86,134. Government College of Technology (Autonomous) Thadagam Road Coimbatore District 641013.pdf
IR-E-C-36954,Muthayammal Engineering College,ENGINEERING,2025,637408,"Yes, more than 80% of the buildings",,,6,48,138. Muthayammal College of Engineering Kakkaveri Post Namakkal District 637408.pdf
IR-E-C-16463,S. A. Engineering College,ENGINEERING,2025,600077,"Yes, more than 80% of the buildings",,,4,72,14.S A Engineering College (Autonomous) Thiruverkadu Chennai 600077.pdf
IR-E-C-45295,"KSR INSTITUTE FOR ENGINEERING AND TECHNOLOGY, NAMAKKAL",ENGINEERING,2024,637215,"Yes, more than 80% of the buildings",,,0,34,140. 2024... K S R Institute for Engineering and Technology (Autonomous) Thokkavadi Namakkal District 637215.pdf
IR-E-C-45287,RATHINAM TECHNICAL CAMPUS,ENGINEERING,2025,641021,"Yes, more than 80% of the buildings",,,11,105,141. Rathinam Technical Campus (Autonomous) Pollachi Road Eachanari Coimbatore District 641021.pdf
IR-E-C-49130,ASIAN COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING,2025,641110,"Yes, more than 60% of the buildings",,,0,0,143. Asian College of Engineering and Technology Asian College Road Kondayampalayam Near Saravanampatti Coimbatore District 641110.pdf
IR-E-C-45288,"SRI RANGANATHAR INSTITUTE OF ENGINEERING AND TECHNOLOGY, COIMBATORE",ENGINEERING,2025,641110,"Yes, more than 60% of the buildings",,,0,0,145. Sri Ranganathar Institute of Engineering and Technology Thudialur-Kovilpalay Road Coimbatore District 641110.pdf
IR-E-C-45299,Dhirajlal Gandhi College of Technology,ENGINEERING,2025,636309,"Yes, more than 80% of the buildings",,,0,0,146. Dhirajlal Gandhi College of Technology Sikkanampatty (Opp. to Airport) Omalur Taluk Salem District 636309.pdf
IR-E-C-16548,Sri Ram Engineering College,ENGINEERING,2025,,"Yes, less than 40% of the buildings",,,0,0,15. Sri Ram Engineering College Perumalpattu Veppampattu (R S) Thiruvallur District 602 024.pdf
IR-E-C-48266,V.S.B College of Engineering Technical Campus,ENGINEERING,2025,642109,"Yes, more than 80% of the buildings",,,0,13,153. V S B College of Engineering Technical Campus Ealur Pirivu Solavampalayam Post Coimbatore District 642109.pdf
IR-E-C-49129,ARJUN COLLEGE OF TECHNOLOGY,ENGINEERING,2025,642120,"Yes, more than 40% of the buildings",,,0,0,155. Arjun College of Technology Chettiyakkapalayam Kinathukadavu Coimbatore District 642120.pdf
IR-E-C-49133,Government College of Engineering Dharmapuri,ENGINEERING,2025,635704,"Yes, more than 80% of the buildings",,,1,35,157. Government College of Engineering Chettikkarai Post Dharmapuri District 635704.pdf
IR-E-C-50605,PSG INSTITUTE OF TECHNOLOGY AND APPLIED RESEARCH,ENGINEERING,2025,641062,"Yes, more than 80% of the buildings",,,34,34,158. PSG Institute of Technology and Applied Research Avinashi Road Neelambur Coimbatore 641062.pdf
IR-E-C-16504,SRI VENKATESWARA COLLEGE OF ENGINEERING AND TECHNOLOGY,ENGINEERING,2025,631203,"Yes, more than 80% of the buildings",,,19,30,16. Sri Venkateswara College of Engineering and Technology Thirupachur Thiruvallur District 631203.pdf
IR-E-C-37003,Government College of Engineering,ENGINEERING,2022,635104,"Yes, more than 80% of the buildings",,,5,1,162...2022..Government College of Engineering (Autonomous) Bargur Krishnagiri District 635104.pdf
IR-E-C-39247,K.S.RANGASAMY COLLEGE OF TECHNOLOGY,ENGINEERING,2026,637215,"Yes, more than 80% of the buildings",,,27,92,163. K S Rangasamy College of Technology (Autonomous) Tiruchengode Namakkal District 637215.pdf
IR-E-C-37000,Paavai Engineering College,ENGINEERING,2025,637018,"Yes, more than 80% of the buildings",,,3,30,167. Paavai Engineering College (Autonomous) NH-7 Pachal Post Namakkal District 637018.pdf
IR-E-C-16490,VEL TECH MULTI TECH DR.RANGARAJAN DR.SAKUNTHALA ENGINEERING COLLEGE,ENGINEERING,2025,,"Yes, more than 80% of the buildings",,,6,20,17. Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous) Avadi-Alamathi Road Chennai 600 062.pdf
IR-E-C-46528,SSM COLLEGE OF ENGINEERING,ENGINEERING,2025,638183,"Yes, more than 80% of the buildings",,,0,0,170. S S M College of Engineering Komarapalayam Namakkal District 638183.pdf
IR-E-C-36980,Government College of Engineering,ENGINEERING,2024,636011,"Yes, more than 80% of the buildings",,,21,52,171. Government College of Engineering (Autonomous) Karuppur Salem District 636011.pdf
