nirf_id,program_level,intake_year,first_year_intake,first_year_admitted,lateral_entry_year,lateral_entry_count,graduating_year,graduating_min_time,students_placed,median_salary,students_higher_studies
IR-E-U-0439,UG,2018-19,2740,2878,2019-20,7,2021-22,2633,1669,630000,142
IR-E-U-0439,UG,2019-20,2470,2268,2020-21,4,2022-23,1961,1593,750000,165
IR-E-U-0439,UG,2020-21,2470,1734,2021-22,7,2023-24,1588,1149,800000,189
IR-E-U-0439,PG,2020-21,1445,846,,,2021-22,696,241,550000,27
IR-E-U-0439,PG,2021-22,1407,724,,,2022-23,589,333,630000,34
IR-E-U-0439,PG,2022-23,1450,618,,,2023-24,538,324,750000,22
IR-E-I-1030,UG,2017-18,120,3,2018-19,3,2020-21,3,3,120000,0
IR-E-I-1030,UG,2018-19,120,0,2019-20,7,2021-22,7,7,120000,0
IR-E-I-1030,UG,2019-20,120,3,2020-21,49,2022-23,52,52,120000,0
IR-E-C-16532,UG,2018-19,600,382,2019-20,0,2021-22,382,371,475000,11
IR-E-C-16532,UG,2019-20,600,282,2020-21,0,2022-23,282,269,516000,12
IR-E-C-16532,UG,2020-21,600,348,2021-22,0,2023-24,348,337,535000,11
IR-E-C-16622,UG,2018-19,420,90,2019-20,83,2021-22,96,65,240000,9
IR-E-C-16622,UG,2019-20,420,46,2020-21,51,2022-23,58,47,240000,7
IR-E-C-16622,UG,2020-21,360,48,2021-22,212,2023-24,25,20,300000,0
IR-E-C-16622,PG,2020-21,54,13,,,2021-22,9,3,300000,0
IR-E-C-16622,PG,2021-22,54,8,,,2022-23,6,2,300000,0
IR-E-C-16622,PG,2022-23,54,12,,,2023-24,3,1,240000,0
IR-E-C-36995,UG,2018-19,0,0,2019-20,0,2022-23,0,0,0,0
IR-E-C-36995,UG,2019-20,60,32,2020-21,0,2023-24,32,24,700000,3
IR-E-C-36995,UG,2020-21,1140,1045,2021-22,131,2023-24,1084,991,700000,92
IR-E-C-36995,UG,2017-18,0,0,2018-19,0,2021-22,0,0,0,0
IR-E-C-36995,PG,2020-21,78,55,,,2021-22,55,50,550000,5
IR-E-C-36995,PG,2021-22,78,71,,,2022-23,70,65,600000,4
IR-E-C-36995,PG,2022-23,60,32,,,2023-24,32,30,620000,2
IR-E-C-16591,UG,2018-19,360,129,2019-20,12,2021-22,95,47,216000,2
