nirf_id,program_level,program_duration,academic_year,sanctioned_intake
IR-E-U-0439,UG,4 Years,2023-24,2380
IR-E-U-0439,UG,4 Years,2022-23,2380
IR-E-U-0439,UG,4 Years,2021-22,2290
IR-E-U-0439,UG,4 Years,2020-21,2470
IR-E-U-0439,PG,2 Years,2023-24,1227
IR-E-U-0439,PG,2 Years,2022-23,1450
IR-E-I-1030,UG,4 Years,2022-23,210
IR-E-I-1030,UG,4 Years,2021-22,150
IR-E-I-1030,UG,4 Years,2020-21,150
IR-E-I-1030,UG,4 Years,2019-20,120
IR-E-C-16532,UG,4 Years,2023-24,900
IR-E-C-16532,UG,4 Years,2022-23,780
IR-E-C-16532,UG,4 Years,2021-22,660
IR-E-C-16532,UG,4 Years,2020-21,600
IR-E-C-16622,UG,4 Years,2023-24,360
IR-E-C-16622,UG,4 Years,2022-23,300
IR-E-C-16622,UG,4 Years,2021-22,300
IR-E-C-16622,UG,4 Years,2020-21,360
IR-E-C-16622,PG,2 Years,2023-24,24
IR-E-C-16622,PG,2 Years,2022-23,54
IR-E-C-36995,UG,5 Years,2023-24,60
IR-E-C-36995,UG,5 Years,2022-23,60
IR-E-C-36995,UG,5 Years,2021-22,60
IR-E-C-36995,UG,5 Years,2020-21,60
IR-E-C-36995,UG,5 Years,2019-20,60
IR-E-C-36995,PG,2 Years,2023-24,39
IR-E-C-36995,PG,2 Years,2022-23,60
IR-E-C-16591,UG,4 Years,2023-24,360
IR-E-C-16591,UG,4 Years,2022-23,360
IR-E-C-16591,UG,4 Years,2021-22,360
IR-E-C-16591,UG,4 Years,2020-21,360
IR-E-C-16477,UG,4 Years,2023-24,360
IR-E-C-16477,UG,4 Years,2022-23,360
IR-E-C-16477,UG,4 Years,2021-22,360
IR-E-C-16477,UG,4 Years,2020-21,360
IR-E-C-16482,UG,4 Years,2022-23,300
IR-E-C-16482,UG,4 Years,2021-22,300
IR-E-C-16482,UG,4 Years,2020-21,480
IR-E-C-16482,UG,4 Years,2019-20,480
IR-E-C-16482,PG,2 Years,2022-23,42
IR-E-C-16482,PG,2 Years,2021-22,60
IR-E-C-16487,UG,4 Years,2023-24,490
IR-E-C-16487,UG,4 Years,2022-23,490
IR-E-C-16487,UG,4 Years,2021-22,490
IR-E-C-16487,UG,4 Years,2020-21,490
IR-E-C-16487,PG,2 Years,2023-24,123
IR-E-C-16487,PG,2 Years,2022-23,141
IR-E-C-16506,UG,4 Years,2023-24,330
IR-E-C-16506,UG,4 Years,2022-23,360
IR-E-C-16506,UG,4 Years,2021-22,380
IR-E-C-16506,UG,4 Years,2020-21,380
IR-E-C-16551,UG,4 Years,2023-24,660
IR-E-C-16551,UG,4 Years,2022-23,660
IR-E-C-16551,UG,4 Years,2021-22,660
IR-E-C-16551,UG,4 Years,2020-21,720
IR-E-C-16551,PG,2 Years,2023-24,87
IR-E-C-16551,PG,2 Years,2022-23,87
IR-E-C-16527,UG,4 Years,2023-24,600
IR-E-C-16527,UG,4 Years,2022-23,540
IR-E-C-16527,UG,4 Years,2021-22,540
IR-E-C-16527,UG,4 Years,2020-21,540
IR-E-C-48283,UG,4 Years,2023-24,420
IR-E-C-48283,UG,4 Years,2022-23,420
IR-E-C-48283,UG,4 Years,2021-22,420
IR-E-C-48283,UG,4 Years,2020-21,420
IR-E-C-48283,PG,2 Years,2023-24,54
IR-E-C-48283,PG,2 Years,2022-23,54
IR-E-C-16473,UG,4 Years,2022-23,390
IR-E-C-16473,UG,4 Years,2021-22,390
IR-E-C-16473,UG,4 Years,2020-21,450
IR-E-C-16473,UG,4 Years,2019-20,450
IR-E-C-16473,PG,2 Years,2022-23,84
IR-E-C-16473,PG,2 Years,2021-22,84
IR-E-C-16614,UG,4 Years,2023-24,1020
IR-E-C-16614,UG,4 Years,2022-23,780
IR-E-C-16614,UG,4 Years,2021-22,780
IR-E-C-16614,UG,4 Years,2020-21,780
IR-E-C-16614,PG,2 Years,2023-24,18
IR-E-C-16614,PG,2 Years,2022-23,27
IR-E-C-1377,UG,4 Years,2023-24,780
IR-E-C-1377,UG,4 Years,2022-23,780
IR-E-C-1377,UG,4 Years,2021-22,780
IR-E-C-1377,UG,4 Years,2020-21,960
IR-E-C-1377,PG,2 Years,2023-24,210
IR-E-C-1377,PG,2 Years,2022-23,210
IR-E-C-16523,UG,4 Years,2023-24,240
IR-E-C-16523,UG,4 Years,2022-23,240
IR-E-C-16523,UG,4 Years,2021-22,240
IR-E-C-16523,UG,4 Years,2020-21,240
IR-E-C-16523,PG,2 Years,2023-24,36
IR-E-C-16523,PG,2 Years,2022-23,36
IR-E-C-36975,UG,4 Years,2023-24,720
IR-E-C-36975,UG,4 Years,2022-23,720
IR-E-C-36975,UG,4 Years,2021-22,720
IR-E-C-36975,UG,4 Years,2020-21,720
IR-E-C-36975,PG,2 Years,2023-24,198
IR-E-C-36975,PG,2 Years,2022-23,198
IR-E-C-36954,UG,4 Years,2023-24,1260
IR-E-C-36954,UG,4 Years,2022-23,1050
IR-E-C-36954,UG,4 Years,2021-22,1050
IR-E-C-36954,UG,4 Years,2020-21,1080
IR-E-C-36954,PG,2 Years,2023-24,54
IR-E-C-36954,PG,2 Years,2022-23,48
IR-E-C-16463,UG,4 Years,2023-24,990
IR-E-C-16463,UG,4 Years,2022-23,900
IR-E-C-16463,UG,4 Years,2021-22,780
IR-E-C-16463,UG,4 Years,2020-21,780
IR-E-C-16463,PG,2 Years,2023-24,63
IR-E-C-16463,PG,2 Years,2022-23,63
IR-E-C-45295,UG,4 Years,2022-23,420
IR-E-C-45295,UG,4 Years,2021-22,360
IR-E-C-45295,UG,4 Years,2020-21,300
IR-E-C-45295,UG,4 Years,2019-20,300
IR-E-C-45295,PG,2 Years,2022-23,24
IR-E-C-45295,PG,2 Years,2021-22,24
IR-E-C-45287,UG,4 Years,2023-24,647
IR-E-C-45287,UG,4 Years,2022-23,420
IR-E-C-45287,UG,4 Years,2021-22,420
IR-E-C-45287,UG,4 Years,2020-21,360
IR-E-C-45287,PG,2 Years,2023-24,147
IR-E-C-45287,PG,2 Years,2022-23,18
IR-E-C-49130,UG,4 Years,2023-24,360
IR-E-C-49130,UG,4 Years,2022-23,300
IR-E-C-49130,UG,4 Years,2021-22,300
IR-E-C-49130,UG,4 Years,2020-21,300
IR-E-C-45288,UG,4 Years,2023-24,360
IR-E-C-45288,UG,4 Years,2022-23,300
IR-E-C-45288,UG,4 Years,2021-22,300
IR-E-C-45288,UG,4 Years,2020-21,300
IR-E-C-45299,UG,4 Years,2023-24,540
IR-E-C-45299,UG,4 Years,2022-23,540
IR-E-C-45299,UG,4 Years,2021-22,540
IR-E-C-45299,UG,4 Years,2020-21,540
IR-E-C-45299,PG,2 Years,2023-24,72
IR-E-C-45299,PG,2 Years,2022-23,72
IR-E-C-16548,UG,4 Years,2023-24,300
IR-E-C-16548,UG,4 Years,2022-23,210
IR-E-C-16548,UG,4 Years,2021-22,210
IR-E-C-16548,UG,4 Years,2020-21,270
IR-E-C-16548,PG,2 Years,2023-24,18
IR-E-C-16548,PG,2 Years,2022-23,18
IR-E-C-48266,UG,4 Years,2023-24,660
IR-E-C-48266,UG,4 Years,2022-23,540
IR-E-C-48266,UG,4 Years,2021-22,540
IR-E-C-48266,UG,4 Years,2020-21,480
IR-E-C-49129,UG,4 Years,2023-24,360
IR-E-C-49129,UG,4 Years,2022-23,300
IR-E-C-49129,UG,4 Years,2021-22,300
IR-E-C-49129,UG,4 Years,2020-21,285
IR-E-C-49133,UG,4 Years,2023-24,300
IR-E-C-49133,UG,4 Years,2022-23,300
IR-E-C-49133,UG,4 Years,2021-22,300
IR-E-C-49133,UG,4 Years,2020-21,300
IR-E-C-50605,UG,4 Years,2023-24,480
IR-E-C-50605,UG,4 Years,2022-23,420
IR-E-C-50605,UG,4 Years,2021-22,300
IR-E-C-50605,UG,4 Years,2020-21,300
IR-E-C-50605,PG,2 Years,2023-24,24
IR-E-C-50605,PG,2 Years,2022-23,24
IR-E-C-16504,UG,4 Years,2023-24,1380
IR-E-C-16504,UG,4 Years,2022-23,1380
IR-E-C-16504,UG,4 Years,2021-22,1020
IR-E-C-16504,UG,4 Years,2020-21,900
IR-E-C-16504,PG,2 Years,2023-24,72
IR-E-C-16504,PG,2 Years,2022-23,72
IR-E-C-37003,UG,4 Years,2020-21,240
IR-E-C-37003,UG,4 Years,2019-20,240
