nirf_id,program_level,male_students,female_students,total_students,within_state,outside_state,outside_country,economically_backward,socially_challenged,full_fee_reimbursement
IR-E-U-0439,UG [4 Years Program(s)],5610,3524,9134,8893,160,81,376,8020,1240
IR-E-U-0439,PG [2 Year Program(s)],745,579,1324,1279,44,1,90,1195,294
IR-E-I-1030,UG [4 Years Program(s)],196,54,250,247,3,0,18,232,0
IR-E-C-16532,UG [4 Years Program(s)],1581,1328,2909,1682,1227,0,1547,997,884
IR-E-C-16622,UG [4 Years Program(s)],753,212,965,928,37,0,26,939,401
IR-E-C-16622,PG [2 Year Program(s)],35,25,60,60,0,0,0,60,35
IR-E-C-36995,UG [4 Years Program(s)],3957,1414,5371,5031,332,8,1853,3187,672
IR-E-C-36995,UG [5 Years Program(s)],173,85,258,254,4,0,39,198,22
IR-E-C-36995,PG [2 Year Program(s)],22,28,50,35,15,0,14,31,1
IR-E-C-16591,UG [4 Years Program(s)],730,364,1094,1092,2,0,0,531,531
IR-E-C-16477,UG [4 Years Program(s)],979,539,1518,1511,7,0,49,1425,145
IR-E-C-16482,UG [4 Years Program(s)],730,455,1185,1172,13,0,356,558,170
IR-E-C-16482,PG [2 Year Program(s)],12,5,17,17,0,0,8,8,8
IR-E-C-16487,UG [4 Years Program(s)],709,409,1118,1112,6,0,473,402,69
IR-E-C-16487,PG [2 Year Program(s)],60,66,126,126,0,0,8,66,7
IR-E-C-16506,UG [4 Years Program(s)],120,90,210,210,0,0,96,114,70
IR-E-C-16551,UG [4 Years Program(s)],806,558,1364,1349,15,0,816,548,266
IR-E-C-16551,PG [2 Year Program(s)],65,52,117,117,0,0,96,21,10
IR-E-C-16527,UG [4 Years Program(s)],1332,904,2236,1644,592,0,751,1372,411
IR-E-C-48283,UG [4 Years Program(s)],1098,547,1645,1644,1,0,296,1322,950
IR-E-C-48283,PG [2 Year Program(s)],11,1,12,12,0,0,0,12,0
IR-E-C-16473,UG [4 Years Program(s)],661,217,878,878,0,0,763,12,197
IR-E-C-16473,PG [2 Year Program(s)],60,21,81,81,0,0,37,3,37
IR-E-C-16614,UG [4 Years Program(s)],2113,1307,3420,2729,671,20,2265,839,660
IR-E-C-16614,PG [2 Year Program(s)],0,3,3,2,1,0,0,2,0
IR-E-C-36995,UG [4 Years Program(s)],3957,1414,5371,5031,332,8,1853,3187,672
IR-E-C-36995,UG [5 Years Program(s)],173,85,258,254,4,0,39,198,22
IR-E-C-36995,PG [2 Year Program(s)],22,28,50,35,15,0,14,31,1
IR-E-C-1377,UG [4 Years Program(s)],1470,1073,2543,2078,463,2,186,1186,1165
IR-E-C-1377,PG [2 Year Program(s)],139,115,254,153,101,0,21,56,56
IR-E-C-16523,UG [4 Years Program(s)],0,489,489,489,0,0,0,443,229
IR-E-C-16523,PG [2 Year Program(s)],0,30,30,30,0,0,0,26,21
IR-E-C-36975,UG [4 Years Program(s)],1762,1271,3034,3004,30,0,719,2315,2002
IR-E-C-36975,PG [2 Year Program(s)],86,65,151,146,5,0,26,125,149
IR-E-C-36954,UG [4 Years Program(s)],2541,685,3226,2876,350,0,698,2150,247
IR-E-C-36954,PG [2 Year Program(s)],44,22,66,66,0,0,30,26,8
IR-E-C-16463,UG [4 Years Program(s)],1832,868,2700,2661,39,0,641,311,311
IR-E-C-16463,PG [2 Year Program(s)],23,15,38,38,0,0,0,4,4
IR-E-C-45295,UG [4 Years Program(s)],871,478,1349,1345,4,0,379,970,199
IR-E-C-45295,PG [2 Year Program(s)],21,18,39,37,2,0,5,34,10
IR-E-C-45287,UG [4 Years Program(s)],830,1021,1851,1410,412,29,602,665,580
IR-E-C-45287,PG [2 Year Program(s)],98,67,165,147,17,1,30,50,28
IR-E-C-49130,UG [4 Years Program(s)],642,295,937,937,0,0,261,676,707
IR-E-C-45288,UG [4 Years Program(s)],666,246,912,833,79,0,54,858,315
IR-E-C-45299,UG [4 Years Program(s)],1063,508,1571,1566,5,0,803,768,132
IR-E-C-45299,PG [2 Year Program(s)],8,4,12,12,0,0,8,4,0
IR-E-C-16548,UG [4 Years Program(s)],263,101,364,359,5,0,81,68,58
IR-E-C-16548,PG [2 Year Program(s)],0,3,3,3,0,0,3,0,3
IR-E-C-48266,UG [4 Years Program(s)],980,759,1739,1716,22,1,352,889,429
IR-E-C-49129,UG [4 Years Program(s)],589,138,727,336,391,0,391,336,93
IR-E-C-49133,UG [4 Years Program(s)],639,400,1039,1039,0,0,10,1029,858
IR-E-C-50605,UG [4 Years Program(s)],978,583,1561,1345,211,5,524,1011,354
IR-E-C-50605,PG [2 Year Program(s)],12,6,18,18,0,0,3,15,0
IR-E-C-16504,UG [4 Years Program(s)],3001,1425,4426,3251,868,307,1686,2038,3074
IR-E-C-16504,PG [2 Year Program(s)],75,26,101,86,10,5,30,9,0
IR-E-C-37003,UG [4 Years Program(s)],602,280,882,882,0,0,0,875,545
IR-E-C-37003,PG [2 Year Program(s)],3,7,10,10,0,0,0,10,0
IR-E-C-39247,UG [4 Years Program(s)],2638,1266,3904,3878,23,3,364,3540,1722
IR-E-C-39247,PG [2 Year Program(s)],95,41,136,128,8,0,22,114,8
IR-E-C-36954,UG [4 Years Program(s)],2541,685,3226,2876,350,0,698,2150,247
IR-E-C-36954,PG [2 Year Program(s)],44,22,66,66,0,0,30,26,8
IR-E-C-37000,UG [4 Years Program(s)],3160,1243,4403,4283,120,0,91,4302,1209
IR-E-C-37000,PG [2 Year Program(s)],20,9,29,29,0,0,7,22,5
IR-E-C-16490,UG [4 Years Program(s)],1937,828,2765,2668,97,0,57,1224,349
IR-E-C-16490,PG [2 Year Program(s)],8,5,13,13,0,0,4,6,2
IR-E-C-46528,UG [4 Years Program(s)],643,246,889,889,0,0,0,0,0
IR-E-C-46528,PG [2 Year Program(s)],6,2,8,8,0,0,0,0,0
IR-E-C-36980,UG [4 Years Program(s)],1213,664,1877,1851,26,0,41,1836,1660
IR-E-C-36980,PG [2 Year Program(s)],35,29,64,64,0,0,2,62,58
IR-E-C-36966,UG [4 Years Program(s)],1548,391,1939,1406,533,0,5,1934,271
IR-E-C-36966,PG [2 Year Program(s)],45,36,81,81,0,0,1,80,13
IR-E-C-37028,UG [4 Years Program(s)],2373,2346,4719,4251,414,54,436,4283,1375
IR-E-C-37028,PG [2 Year Program(s)],68,72,140,109,23,8,35,105,20
IR-E-C-37022,UG [4 Years Program(s)],0,2112,2112,2083,29,0,970,1142,369
IR-E-C-37022,PG [2 Year Program(s)],0,43,43,43,0,0,1,42,15
IR-E-C-36944,UG [4 Years Program(s)],2557,1692,4249,3180,1068,1,1042,1497,614
IR-E-C-36944,PG [2 Year Program(s)],3,16,19,19,0,0,12,7,11
IR-E-C-37074,UG [4 Years Program(s)],1142,537,1679,1677,2,0,0,1663,607
IR-E-C-37074,PG [2 Year Program(s)],0,3,3,3,0,0,0,3,0
IR-E-C-37068,UG [4 Years Program(s)],774,446,1220,1220,0,0,1220,0,572
IR-E-C-37068,PG [2 Year Program(s)],24,13,37,37,0,0,0,0,0
IR-E-C-37000,UG [4 Years Program(s)],3160,1243,4403,4283,120,0,91,4302,1209
IR-E-C-37000,PG [2 Year Program(s)],20,9,29,29,0,0,7,22,5
IR-E-C-37006,UG [4 Years Program(s)],571,339,910,910,0,0,501,409,160
IR-E-C-37006,PG [2 Year Program(s)],94,52,146,146,0,0,127,19,0
IR-E-C-37004,UG [4 Years Program(s)],1788,447,2393,2235,158,0,1762,631,631
IR-E-C-37004,PG [2 Year Program(s)],12,7,19,19,0,0,6,13,13
IR-E-C-36930,UG [4 Years Program(s)],2967,897,3864,2987,832,45,1832,1001,1158
IR-E-C-36930,PG [2 Year Program(s)],436,172,608,551,57,0,160,107,128
IR-E-C-36930,PG-Integrated,51,24,75,57,18,0,25,25,5
